Clothing Item Name,Item URL,Image URL,Brand Name,Price,,,,,,,,,,,,,,,,,,,,,,,,,
Meia de ténis com riscas contrastantes ALTAVIA COURT,https://www.ovsfashion.com/en/pt/p/meia-de-tenis-com-riscas-contrastantes-altavia-court-002479070.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dw0dcdb3b2/media/products/002/479/002479070_FSTILL.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
Pulsores desportivos ALTAVIA COURT,https://www.ovsfashion.com/en/pt/p/pulsores-desportivos-altavia-court-002502221.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dw9f37aa71/media/products/002/502/002502221_L.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
Meias de ténis com riscas contrastantes ALTAVIA COURT,https://www.ovsfashion.com/en/pt/p/meias-de-tenis-com-riscas-contrastantes-altavia-court-002479068.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dwaf2d7d22/media/products/002/479/002479068_L.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
Tank top with cut-out detail,https://www.ovsfashion.com/en/pt/p/tank-top-with-cut-out-detail-002072739.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dw976fa175/media/products/002/072/002072739_F.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
Crop T-shirt in cotton,https://www.ovsfashion.com/en/pt/p/crop-t-shirt-in-cotton-002067406.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dw9dea6734/media/products/002/067/002067406_F.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
Cotton T-shirt with kimono sleeves,https://www.ovsfashion.com/en/pt/p/cotton-t-shirt-with-kimono-sleeves-002098598.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dw1dd0ad77/media/products/002/098/002098598_F.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
Cotton T-shirt with kimono sleeves,https://www.ovsfashion.com/en/pt/p/cotton-t-shirt-with-kimono-sleeves-002098592.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dw9793eb24/media/products/002/098/002098592_F.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
White cropped fitted pure cotton T-shirt,https://www.ovsfashion.com/en/pt/p/white-cropped-fitted-pure-cotton-t-shirt-002419751.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dw5baa606d/media/products/002/419/002419751_F.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
Brown Short-Sleeve Cotton T-Shirt,https://www.ovsfashion.com/en/pt/p/brown-short-sleeve-cotton-t-shirt-002419761.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dwcced1abe/media/products/002/419/002419761_F.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
Women's Multicolour Pure Cotton T-shirt,https://www.ovsfashion.com/en/pt/p/womens-multicolour-pure-cotton-t-shirt-002415778.html,https://www.ovsfashion.com/dw/image/v2/BKML_PRD/on/demandware.static/-/Sites-ovs-master/default/dw0bfc8807/media/products/002/415/002415778_F.jpg?sw=900&sh=1200,OVS,"€ 6,95",,,,,,,,,,,,,,,,,,,,,,,,,
